label ,text,,,,,,
5,What is Answers.com 's address ?,,,,,,
3,Who is the man behind the pig-the man who pulls the strings,and,speaks,for,Miss,Pigg,y ?
5,What was the highest mountain on earth before Mount Everest,was,discov,ered,?,,
5,In what U.S. state was the first woman governor elected ?,,,,,,
1,What kind of animal is Babar ?,,,,,,
0,How do I tie dye clothes ?,,,,,,
1,What do bicornate animals have two of ?,,,,,,
1,What CBS soap opera was interrupted by the bulletin of John,F.,Kennedy,'s,assass,inat,ion ?
0,What causes the redness in your cheeks when you blush ?,,,,,,
5,Where did Sarge Steel get his metal hand ?,,,,,,
3,Who founded the People 's Temple Commune ?,,,,,,
3,What 19th-century painter died in the Marquesas Islands ?,,,,,,
2,What does ` PSI ' stand for ?,,,,,,
0,What are liver enzymes ?,,,,,,
4,How many equal angles are there in an isosceles triangle ?,,,,,,
5,Where on the Internet can I find a song lyrics database sim,ilar,to the,Int,ernati,onal,Lyrics Server ?
0,Where do chihuahuas come from ?,,,,,,
1,What killed Bob Marley ?,,,,,,
0,What does `` extended definition '' mean and how would one,writ,e a pap,er o,n it ?,,
3,Who does the advertizing for Frito-Lay ?,,,,,,
0,How did Jayne Mansfield die ?,,,,,,
4,How many referees work a soccer game ?,,,,,,
1,What type of bridge is the Golden Gate Bridge ?,,,,,,
0,What is gymnophobia ?,,,,,,
5,Where is the Kalahari desert ?,,,,,,
3,Which Ventura County police department seized the largest c,ocai,ne ship,ment,in it,'s,history ?
0,What are bear and bull markets ?,,,,,,
3,Who sings the themes for `` Dawson 's Creek '' and `` Felic,ity,'' ?,,,,
3,"""What President lived at 219 North Delaware Street , Indepe",nden,"ce , Mi",ssou,"ri ?""",,
3,Who invented Make-up ?,,,,,,
5,Where 's the 19th hole on a golf course ?,,,,,,
1,What album put The Beatles on the cover of Time in 1967 ?,,,,,,
1,What is the best way to remove wallpaper ?,,,,,,
4,How many types of dogs ' tails are there - three,,,,,,
3,Which Bloom County resident wreaks havoc with a computer ?,,,,,,
4,How many hostages were killed in the Entebbe raid ?,,,,,,
3,Who created Dennis the Menace ?,,,,,,
1,What disease is transmitted by the Anopheles mosquito ?,,,,,,
1,What are the rites accompanying the circumcision of a newly,bor,n-child,in,Judais,m ca,lled ?
0,What is the filmmakers collabrative ?,,,,,,
5,What is the name of the city that Maurizio Pellegrin lives,in ?,,,,,
3,Who is the fastest swimmer in the world ?,,,,,,
0,What is dry ice ?,,,,,,
4,What is the busiest air travel season ?,,,,,,
1,What film marked Robert Redford 's directorial debut ?,,,,,,
0,Give a reason for American Indians oftentimes dropping out,of s,chool .,,,,
0,What is `` dew point '' ?,,,,,,
3,Name Alvin 's brothers,,,,,,
4,How many years did it take James Joyce to write Ulysses ?,,,,,,
5,What is California 's capital ?,,,,,,
0,What did the only repealed amendment to the U.S. Constituti,on d,eal wit,h ?,,,
3,Which oil company almost picked a word that meant `` stalle,d ca,r '' in,Jap,anese,as i,ts new international name ?
5,Where can I buy movies on videotape online ?,,,,,,
4,What year did Hitler die ?,,,,,,
0,What is the daily requirement of folic acid for an expectan,t mo,ther ?,,,,
1,"""Which mosquito 's bite draws blood , DT NN CC DT NN .""",,,,,,
0,What are Cushman and Wakefield known for ?,,,,,,
4,What is the speed of the Mississippi River ?,,,,,,
4,How many miles is it to Ohio from North Carolina ?,,,,,,
0,What caused the Lynmouth floods ?,,,,,,
3,Who was the founding member of the Pink Floyd band ?,,,,,,
4,In what year was De Gaulle elected president of France ?,,,,,,
1,What board game does a `` wood-pusher '' play poorly ?,,,,,,
0,What is a firewall ?,,,,,,
3,Who has more DNA - a man or a woman ?,,,,,,
1,What are the four elements ?,,,,,,
5,Where is the Orinoco ?,,,,,,
3,Which Japanese car maker had its biggest percentage of sale,in,the dom,esti,c mark,et ?,
2,What is the abbreviation for micro ?,,,,,,
4,How many people did Randy Craft kill ?,,,,,,
5,What U.S. city is The Queen of the Pacific ?,,,,,,
0,How can I find out what year a Beanie Baby was introduced ?,,,,,,
3,What Polynesian people inhabit New Zealand ?,,,,,,
5,What is the deepest area of the Arctic Ocean ?,,,,,,
3,What level of government or governmental agency is responsi,ble,for dea,ling,with,raci,sm ?
3,Which of the following was Rhodes Scholar ?,,,,,,
0,How do chickens have baby chicks ?,,,,,,
3,What actor first portrayed James Bond ?,,,,,,
0,How did serfdom develop in and then leave Russia ?,,,,,,
1,What is Nebraska 's most valuable resource ?,,,,,,
3,What 1920s cowboy star rode Tony the Wonder Horse ?,,,,,,
1,What is considered the costliest disaster the insurance ind,ustr,y has e,ver,faced,?,
4,How many Community Chest cards are there in Monopoly ?,,,,,,
0,How was the element calcium named ?,,,,,,
1,Which two products use a tiger as their symbol ?,,,,,,
0,How do you make a paintball ?,,,,,,
4,What is the normal resting heart rate of a healthy adult ?,,,,,,
4,What is the speed of the Mississippi River ?,,,,,,
0,What are equity securities ?,,,,,,
1,What is the largest snake in the world ?,,,,,,
5,What U.S. state is Fort Knox in ?,,,,,,
3,What toy company is the world 's No.1 maker of female appar,el ?,,,,,
0,How do you get to the top of the Eiffel Tower ?,,,,,,
3,What Indian tribe is F Troop perpetually doing battle with,?,,,,,
1,What was cash-conscious Colonel Edwin L. Drake the first to,dri,ll ?,,,,
4,When did Rococo painting and architecture flourish ?,,,,,,
4,When did World War I start ?,,,,,,
0,"""What 's the meaning of the Latin battle cry : Ad arma , ad",arm,"a .""",,,,
3,Who followed Caesar ?,,,,,,
3,Who produces Spumante ?,,,,,,
1,What crop failure caused the Irish Famine ?,,,,,,
0,What does Inuit and Eskimo mean ?,,,,,,
3,Who is the mayor of Marbella ?,,,,,,
4,In which year was New Zealand excluded from the ANZUS allia,nce,?,,,,
4,How many Jews were executed in concentration camps during W,WII,?,,,,
3,Name 11 famous martyrs .,,,,,,
1,What are the 7 articles of the constitution ?,,,,,,
4,What is the population of Ohio ?,,,,,,
3,What was the name of the first Russian astronaut to do a sp,acew,alk ?,,,,
5,Where was Christopher Columbus born ?,,,,,,
5,What country 's national passenger rail system is called Vi,a ?,,,,,
0,"""What is the 401 , K , plan ?""",,,,,,
4,How many inches over six feet is the Venus de Milo ?,,,,,,
0,What do Mormons believe ?,,,,,,
3,What contemptible scoundrel stole the cork from my lunch ?,,,,,,
0,What is a transistor ?,,,,,,
5,What two South American countries do n't border Brazil ?,,,,,,
1,What 's the official animal of Canada ?,,,,,,
1,What field sport did dentist William Beers promote and writ,e a,standar,d bo,ok of,rule,s for ?
0,What is an annotated bibliography ?,,,,,,
3,What is the name of the managing director of Apricot Comput,er ?,,,,,
5,Where is the highest point in Japan ?,,,,,,
1,What is the lowest level of the American judiciary ?,,,,,,
3,Who were the five Marx brothers ?,,,,,,
1,What 's the term for a young fox ?,,,,,,
4,How many years do fossils take to form ?,,,,,,
3,What stereo manufacturer is `` Slightly ahead of its time ',' ?,,,,,
5,Where is the Rose Bowl played ?,,,,,,
5,What European country is home to the beer-producing city of,Bud,weis ?,,,,
4,In what year did Thatcher become prime minister ?,,,,,,
3,Who earns their money the hard way ?,,,,,,
4,When was the first Wall Street Journal published ?,,,,,,
1,The corpus callosum is in what part of the body ?,,,,,,
0,What are hook worms ?,,,,,,
3,What dictator has the nickname `` El Maximo '' ?,,,,,,
1,What 's the common name for acetylsalicylic acid ?,,,,,,
5,What sprawling U.S. state boasts the most airports ?,,,,,,
0,Hazmat stands for what ?,,,,,,
0,What is the design of the ship Titanic ?,,,,,,
1,In what medium is Stuart Hamblen considered to be the first,sin,ging co,wboy,?,,
3,What Russian composer 's Prelude in C Sharp Minor brought h,im f,ame and,for,tune ?,,
5,What city did the Flintstones live in ?,,,,,,
0,How do you match a name to a social security number ?,,,,,,
3,What is the oldest profession ?,,,,,,
4,How many species of the Great White shark are there ?,,,,,,
1,What is the longest-running television series ?,,,,,,
0,What is the contents of proposition 98 ?,,,,,,
0,What is the function of RAM ?,,,,,,
0,What do bee hives do in cranberry bogs ?,,,,,,
1,What TV game show once saw a contestant admit to picking hi,s to,es in t,he s,hower,?,
0,Why do people get calluses ?,,,,,,
1,What is a film starring Jude Law ?,,,,,,
1,What 's the second-most-used vowel in English ?,,,,,,
1,What beer advertised that it had `` three rings '' ?,,,,,,
5,Which city has the oldest relationship as a sister city wit,h Lo,s Angel,es ?,,,
1,What color bottles do good Rhine wines come in ?,,,,,,
1,What song served as the closing theme of The Johnny Cash Sh,ow ?,,,,,
4,When did Spielberg direct `` Jaws '' ?,,,,,,
3,"""Who was the first American poet to win the Nobel Prize for",lit,erature,", i",n 1948,"?""",
3,What girl 's name is `` Teddy '' an affectionate form of ?,,,,,,
5,"""Where was the Ligurian Republic , 1797-185 , ?""",,,,,,
3,"""Who wrote the song , `` Stardust '' ?""",,,,,,
1,What rum is so `` mixable '' it is a one-brand bar ?,,,,,,
4,How many points make up a perfect fivepin bowling score ?,,,,,,
5,Where can I find a `` Fifth Element '' screensaver ?,,,,,,
1,What is the fastest commercial automobile that can be bough,t in,the US,?,,,
1,What chemicals are used in lethal injection ?,,,,,,
5,What is the highest waterfall in the United States ?,,,,,,
5,In what area of the world was the Six Day War fought ?,,,,,,
3,Who was the first woman golfer to earn a million ?,,,,,,
1,What gaming devices were dubbed `` Mississippi marbles '' a,nd `,` Memph,is d,ominoe,s '',?
0,Why is poop sometimes different colors ?,,,,,,
3,Who are the two sons of Ozzie and Harriet Nelson ?,,,,,,
1,What is Latin for incompetent ?,,,,,,
1,What four forms does gold occur in ?,,,,,,
4,How many people in the world speak French ?,,,,,,
3,"""Who was the mother of the man who would not be king , the",duke,of Win,dsor,"?""",,
1,What is a female rabbit called ?,,,,,,
5,Where does chocolate come from ?,,,,,,
1,What film did Lee Marvin win the 1965 best actor Oscar for,?,,,,,
1,What Jewish holiday saw the start of the 1973 Mideast War ?,,,,,,
4,How many years ago did the ship Titanic sink ?,,,,,,
3,What athlete makes the most money from sports merchandise s,ales,?,,,,
5,Where was George Washington born ?,,,,,,
1,What articles of clothing are tokens in Monopoly ?,,,,,,
0,How does a copier work ?,,,,,,
1,What J.R.R. Tolkien book features Bilbo Baggins as the cent,ral,charact,er ?,,,
1,On what T.V. show could Tom Terrific be found ?,,,,,,
0,How is the election of a new Pope announced to the world ?,,,,,,
3,Who was the inventor of silly putty ?,,,,,,
3,Who is Snoopy 's arch-enemy ?,,,,,,
0,What is Betsy Ross famous for ?,,,,,,
3,What dummy received an honorary degree from Northwestern Un,iver,sity ?,,,,
5,Where is Basque country located ?,,,,,,
5,What ocean is the largest in the world ?,,,,,,
5,Where does Barney Rubble go to work after he drops Fred off,in,the ``,Flin,tstone,s '',cartoon series ?
3,What is the occupation of Nicholas Cage ?,,,,,,
0,How do I find the balance of my social security account ?,,,,,,
4,How many calories are there in a Big Mac ?,,,,,,
3,What famous model was married to Billy Joel ?,,,,,,
3,Who wrote NN DT NNP NNP '' ?,,,,,,
0,How can I find a list of celebrities ' real names ?,,,,,,
3,Who declared : `` I am down on whores and I shan 't stop ri,ppin,g them,'' ?,,,
5,What is the name of the tallest mountain in the world ?,,,,,,
5,"""What sun-blasted , 14-mile wide valley is just north of th",e Mo,jave de,sert,"?""",,
1,What was the first Lifesaver flavor ?,,,,,,
3,Who killed Gandhi ?,,,,,,
0,What is the origin of the name ` Scarlett ' ?,,,,,,
3,Who do Herb and Tootsie live next door to ?,,,,,,
4,How long does it take for your blood to make one complete t,rip,through,the,body,?,
3,What actor said in A Day at the Races : `` Either he 's dea,d or,my wat,ch h,as sto,pped,'' ?
5,What state is John F. Kennedy buried in ?,,,,,,
5,What is the brightest star visible from Earth ?,,,,,,
3,Who directed `` Jaws '' ?,,,,,,
1,What are the different approaches of systems analysis ?,,,,,,
1,What is a fear of weakness ?,,,,,,
4,When was the women 's suffrage amendment ratified ?,,,,,,
3,Name the scar-faced bounty hunter of The Old West .,,,,,,
0,What does the name Billie mean ?,,,,,,
0,What is the use of a 24-hour clock instead of a 12-hour clo,ck ?,,,,,
3,Who was President of Afghanistan in 1994 ?,,,,,,
4,How many species of sharks are there ?,,,,,,
3,Who is Terrence Malick ?,,,,,,
1,What shrubs can be planted that will be safe from deer ?,,,,,,
3,Who has the only speaking role in `` Silent Movie '' ?,,,,,,
4,What time of day did Emperor Hirohito die ?,,,,,,
5,What desert has been called The Garden of Allah ?,,,,,,
1,"""What children 's tale contains the line : `` Come , Cinder",slut,", and",hold,this,skei,"n of wool for me '' ?"""
0,How did the tradition of best man start ?,,,,,,
0,What is titanium ?,,,,,,
1,What predators exist on Antarctica ?,,,,,,
0,What is paracetamol ?,,,,,,
5,Where can I find a case on Individuals with Disabilities Ed,ucat,ion Act,of,1991 ?,,
2,CNN is the abbreviation for what ?,,,,,,
1,What animal has the biggest eyes ?,,,,,,
