text,label
"I, I like beer.",0
John wrote books.,0
Better you not drink.,0
The string cut.,0
Constant reading Shakespeare satisfied me,0
John has a hole in his quilt's upper right-hand corner.,0
It was kissed her.,0
He does have been eating.,0
Felicia shipped the box out of the storeroom.,0
The Mona Lisa sees easily.,0
"Ron wanted to wear a tuxedo to the party, but wear a tuxedo to the party Caspar couldn't decide whether to.",0
John is prouder of having gone than John expected me not to believe he would be.,0
I didn't eat the cake or any ice cream.,0
The man's standing over there hat impressed me greatly.,0
Reports of which the government prescribes the height of the Lettering on the covers are invariably boring.,0
The stone knocked against the pole into the road.,0
Calvin could will eat the beef waffles.,0
Cheryl stood the shelf with the books.,0
Soon irritating and a bully started shouting again.,0
It seemed to be intelligent.,0
Mary waited for the bus and to go home.,0
Tom told anybody that he wasn't sick.,0
Almost an owl hunts mice.,0
Did that John showed up please you?,0
Hunger fainted Sharon.,0
"The more contented I laughed at the nurse who thought that we were becoming, the more angry we grew at the doctors.",0
Jill offered the ball at Bob.,0
"I can well imagine if he eats more, him getting fat.",0
We abandoned from the area.,0
few evidence was provided.,0
John heard that they criticized each other.,0
Jill offered the ball towards Bob.,0
That he was hungry was whined by John.,0
A proof that the claim had been made was given that John had lied.,0
The shock flinched Sharon.,0
My red is refrigerator.,0
Harriet alternated folk songs and pop songs together.,0
I'm glad I saw anybody.,0
"We gave him enough opportunity and, sure enough, every senator succumbed to corruption.",0
George is having lived in Toledo for thirty years.,0
Him book,0
The package carried.,0
Celia brushed.,0
I shaped a loaf from the dough.,0
I dislike his tickling myself.,0
Bill would be easy for it to become expensive for you to chat with in Moscow.,0
Among the guests were sitting my friend Louise.,0
"After reading the pamphlet, Judy threw them into the garbage can.",0
My mother bore me in 1970.,0
The recent strike by pilots have cost the country a great deal of money from tourism and so on.,0
We put.,0
I want Bradley that left.,0
The equipment we bought last year was more expensive than the one we bought this year.,0
I'm sadder than angry.,0
That Sam didn't pick those packages which are to be mailed tomorrow up is possible.,0
I'm sadder than I'm angry.,0
The box contained the ball to the ground.,0
Buffy couldn't do 100 push ups and anybody laughed.,0
John loves Mary's pictures of himself.,0
The only relatives with whom I'd like to do away are my aunts.,0
Jack is the person whom Jenny fell in love.,0
Who does Phineas know a girl who is jealous of?.,0
Mary thinks for Bill to come.,0
I handed to Reg.,0
"Handsome though my friends suggested that Mary thinks that Tom is, I still won't date him.",0
The naughty child spanked.,0
