label,text
5,Where do you find the answers for all these questions ?
0,What is thermal equilibrium ?
1,"What is a term for behavior , appearance , or expression that violates the accepted standards of sexual morality ?"
3,What fast-food magnate 's initials graced the left sleeve of the San Diego Padres ' baseball uniforms in 1984 ?
0,What is the origin of the typing practice sentence `` Now is the time for all good men to come to the aid of their country '' ?
4,How many neurons are in the human brain ?
1,What is a fear of reptiles ?
1,What does Knight Ridder publish ?
5,What city is . KDGE Radio located in ?
1,What can one see in Reims ?
0,How is an executioner determined ?
5,What city was Bobby Kennedy assassinated in ?
1,What 's the highest possible bid in Contract Bridge ?
0,What is the medical condition of hypertension ?
5,What London museum features a Chamber of Horrors ?
5,What city is served by McCarren Airport ?
4,How many lakes are there on the Earth ?
0,What is Doegs ?
3,Who else was considered for the role of Luke Skywalker when George Lucas was casting for Star Wars ?
4,How long does a fly live ?
1,What two major world religions began in India ?
4,How many pounds are there in a stone ?
1,What kind of poisoning is known as plumbism ?
1,What is the greatest source of `` white '' magic in the Marvel Universe ?
0,How do I find if my relatives were on the Trail of Tears ?
4,What amount of folic acid should an expectant mother take daily ?
0,How do you select wine ?
3,Who was the king who signed the Magna Carta ?
4,"How many miles is it from Frankfurt , Germany to Salzburg , Austria ?"
4,How many chairs are shown in Vincent Van Gogh 's 188 work The Artist 's Room in Arles ?
1,What is a fear of stings ?
1,Jude Law was in what movie ?
5,What state on the Gulf of Mexico has its lowest point five feet below sea level ?
1,What was the name of Robert Fulton 's most famous steamboat ?
5,Where can I find a case on Americans with Disabilities Act of 199 ?
3,Who is the leader of India ?
3,Who is the prophet that is most connected to the Dead Sea ?
4,What are the chances of pregnacy if the penis does not penetrate the vagina ?
0,What is infomatics ?
0,What is the purpose of BIOS ?
5,Where is the Keck telescope ?
1,What is the name of the kids ' show from Canadian Public TV with the singing pineapple ?
5,"Where are the apartments in Saint John , New Brunswick ?"
3,Who wrote `` The Pit and the Pendulum '' ?
5,What country did the Mau Mau Uprising take place in ?
5,What are some good medical sites for information ?
1,What does a resurrectionist steal ?
0,Why did the Shea & Gould law firm leave Los Angeles ?
3,What is the best art and design school in the world ?
1,What two vegetables are combined in succotash ?
